diseases,sintomas,texto
mononeuritis,"['hand or finger pain', 'elbow pain', 'foot or toe pain', 'arm pain', 'loss of sensation', 'ankle pain', 'wrist pain', 'leg pain', 'hand or finger weakness', 'shoulder pain']","
    Mononeuritis is a condition that may present symptoms such as hand or finger pain, elbow pain, foot or toe pain, arm pain, loss of sensation, ankle pain, wrist pain, leg pain, hand or finger weakness, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
mononucleosis,"['nasal congestion', 'skin rash', 'cough', 'sore throat', 'headache', 'swollen lymph nodes', 'feeling ill', 'fever']","
    Mononucleosis is a condition that may present symptoms such as nasal congestion, skin rash, cough, sore throat, headache, swollen lymph nodes, feeling ill, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
moyamoya disease,"['depressive or psychotic symptoms', 'elbow weakness']","
    Moyamoya disease is a condition that may present symptoms such as depressive or psychotic symptoms, elbow weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
mucositis,"['mouth ulcer', 'decreased appetite', 'sore throat', 'tongue lesions', 'mouth pain', 'irritable infant', 'difficulty in swallowing', 'fever']","
    Mucositis is a condition that may present symptoms such as mouth ulcer, decreased appetite, sore throat, tongue lesions, mouth pain, irritable infant, difficulty in swallowing, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
multiple myeloma,"['fatigue', 'problems with movement', 'disturbance of memory', 'weakness', 'lip swelling']","
    Multiple myeloma is a condition that may present symptoms such as fatigue, problems with movement, disturbance of memory, weakness, lip swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
multiple sclerosis,"['fatigue', 'loss of sensation', 'abnormal involuntary movements', 'problems with movement', 'dizziness', 'leg weakness', 'headache', 'weakness', 'disturbance of memory', 'focal weakness', 'paresthesia']","
    Multiple sclerosis is a condition that may present symptoms such as fatigue, loss of sensation, abnormal involuntary movements, problems with movement, dizziness, leg weakness, headache, weakness, disturbance of memory, focal weakness, paresthesia.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
mumps,"['sore throat', 'ear pain', 'shoulder swelling', 'swollen lymph nodes']","
    Mumps is a condition that may present symptoms such as sore throat, ear pain, shoulder swelling, swollen lymph nodes.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
muscle spasm,"['low back pain', 'neck pain', 'sharp chest pain', 'muscle cramps, contractures, or spasms', 'arm pain', 'abnormal involuntary movements', 'loss of sensation', 'leg pain', 'headache', 'back pain']","
    Muscle spasm is a condition that may present symptoms such as low back pain, neck pain, sharp chest pain, muscle cramps, contractures, or spasms, arm pain, abnormal involuntary movements, loss of sensation, leg pain, headache, back pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
muscular dystrophy,"['feeling cold', 'nasal congestion', 'fatigue', 'cough', 'hip pain']","
    Muscular dystrophy is a condition that may present symptoms such as feeling cold, nasal congestion, fatigue, cough, hip pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
myasthenia gravis,"['fatigue', 'coughing up sputum', 'double vision', 'shortness of breath', 'slurring words', 'weakness', 'dizziness']","
    Myasthenia gravis is a condition that may present symptoms such as fatigue, coughing up sputum, double vision, shortness of breath, slurring words, weakness, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
myelodysplastic syndrome,"['chills', 'fatigue', 'difficulty speaking']","
    Myelodysplastic syndrome is a condition that may present symptoms such as chills, fatigue, difficulty speaking.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
myocarditis,"['dizziness', 'palpitations', 'sharp chest pain']","
    Myocarditis is a condition that may present symptoms such as dizziness, palpitations, sharp chest pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
myoclonus,"['insomnia', 'muscle swelling', 'abnormal involuntary movements', 'seizures']","
    Myoclonus is a condition that may present symptoms such as insomnia, muscle swelling, abnormal involuntary movements, seizures.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
myopia,"['eye redness', 'diminished vision', 'eye moves abnormally', 'foreign body sensation in eye', 'spots or clouds in vision', 'pain in eye', 'symptoms of eye', 'blindness', 'eye deviation']","
    Myopia is a condition that may present symptoms such as eye redness, diminished vision, eye moves abnormally, foreign body sensation in eye, spots or clouds in vision, pain in eye, symptoms of eye, blindness, eye deviation.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
